created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 11 23:05:35 +0000 2023;1634692069917859841;"Gemuruh BLINK di Konser BLACKPINK 'BORN PINK' Jakarta - InsertLive https://t.co/6bpVnwS4wp";0;0;0;0;in;741173384;1634692069917859841;InfoJktCom;https://twitter.com/InfoJktCom/status/1634692069917859841
Sat Mar 11 23:05:25 +0000 2023;1634692029665144832;"WTS ticket Born Pink Jakarta Cat 2 Day 2, sudah jadi wb *UNDER PRICE BISA NEGO*  #BORNPINKJakarta             #BLACKPINK_WORLDTOUR             #BLACKPINKinJAKARTA #BLACKPINK_BORNPINK             #BORNPINKJKT #BORNPINKinJAKARTA https://t.co/4vQg9fe2ip";0;1;0;0;in;1470607353326145536;1634692029665144832;Syaaa135;https://twitter.com/Syaaa135/status/1634692029665144832
Sat Mar 11 23:05:18 +0000 2023;1634692001433260033;"Nct udah konser di indo, black pink udah konser di indo, ONE OK ROCK KAPAN JING!!!";0;0;0;0;in;1072273195774894080;1634692001433260033;pbjlovers;https://twitter.com/pbjlovers/status/1634692001433260033
Sat Mar 11 23:05:06 +0000 2023;1634691948832501761;"Kerenn bagttt woy blackpink asliii 😭😭😭👍👍👍";0;0;0;0;in;1221293660563656705;1634691948832501761;ketekseokjinn;https://twitter.com/ketekseokjinn/status/1634691948832501761
Sat Mar 11 23:04:19 +0000 2023;1634691753323413504;"Jasa Titip Barang - Konser BLACKPINK Day 2 by @honeybebegom &amp  @raranng_  Koper Limited Slot! Koper diatas 20inch harga beda❌ Ask me https://t.co/3LckdSJIg7 (NO DM❌)  BP wts wtb gbk jastip penitipan nitip #BLACKPINK_BORNPINK #BLACKPINKinJAKARTA #BORNPINKinJAKARTA #BLACKPINKinJKT https://t.co/pNIuYluJio";1;1;2;2;in;1540342465;1634691753323413504;honeybebegom;https://twitter.com/honeybebegom/status/1634691753323413504
Sat Mar 11 23:03:50 +0000 2023;1634691632519057411;"ngeliat org nonton blackpink buat aing kek ngapain heboh bgt nonton manusia segitunya anjir kek sama sama org ga sih..";0;0;0;0;in;69175099;1634691632519057411;Rfqazk_;https://twitter.com/Rfqazk_/status/1634691632519057411
Sat Mar 11 23:02:05 +0000 2023;1634691188224823296;"WTS (Want To Sale) LIGHTSTICK OFFICIAL BLACKPINK VER.2 (UNSEALED) Beli di merch booth konser day 1 tadi terus dipake beberapa jam masih mulus banget ✅️COD/Pickup di citadines sudirman Hotel (Last jam 12 siang soalnya mau checkout hotel) FREE POSTER BORN PINK DARI CONCERT DAY 1 https://t.co/cY9LakolNT";0;6;0;0;in;1410795656596189188;1634691188224823296;LEEJlEN0;https://twitter.com/LEEJlEN0/status/1634691188224823296
Sat Mar 11 23:01:59 +0000 2023;1634691163440693248;"Hindari seputaran GBK Minggu, 12 Maret 2023 Pukul 13.00-23.00 WIB  Hindari kepadatan di Jl. Jendral Sudirman, Gatot Subroto, Asia Afrika, Gerbang Pemuda dikarenakan ada kegiatan konser Blackpink di GBK Untuk penonton konser diimbau gunakan moda tranportasi umum. @TMCPoldaMetro https://t.co/OnldUJOlga";0;0;0;0;in;180696019;1634691163440693248;SonoraFM92;https://twitter.com/SonoraFM92/status/1634691163440693248
Sat Mar 11 23:01:28 +0000 2023;1634691034667167744;"saking handaknya nonton blackpink sampai tebawa mimpi 😭";0;0;0;0;in;4207960943;1634691034667167744;kalenksarden;https://twitter.com/kalenksarden/status/1634691034667167744
Sat Mar 11 23:01:23 +0000 2023;1634691013330735104;"Konser blackpink seru banget keliatannya😭";0;0;0;0;in;1252093597412777984;1634691013330735104;happyvirustt;https://twitter.com/happyvirustt/status/1634691013330735104
Sat Mar 11 23:00:38 +0000 2023;1634690824180228098;"Ngilerrrr pada liat blackpink walau ga terlalu fanatik bgt🤣 apalah daya ga di acc suami😪";0;0;0;0;in;2392511540;1634690824180228098;widiadu_;https://twitter.com/widiadu_/status/1634690824180228098
Sat Mar 11 23:00:31 +0000 2023;1634690796049043458;"Tik tok ku dipenuhi blackpink😆";0;0;0;0;in;1296221180077043712;1634690796049043458;zxcvbnmbbyy;https://twitter.com/zxcvbnmbbyy/status/1634690796049043458
Sat Mar 11 23:00:26 +0000 2023;1634690776268668928;"Bangun tidur hunting igstory yang pada nonton konser Blackpink. Makasih loooh... 😘";0;0;0;0;in;62461531;1634690776268668928;oelpha;https://twitter.com/oelpha/status/1634690776268668928
Sat Mar 11 22:58:51 +0000 2023;1634690377516204032;"Fyp tiktok kenapa black pink semua sih bikin mengiri aja...";0;0;0;1;in;1300272560186114048;1634690377516204032;Wahyuansari10;https://twitter.com/Wahyuansari10/status/1634690377516204032
Sat Mar 11 22:58:44 +0000 2023;1634690347837296640;""eh btw di blackpink ada yang namanya jisoo?"  "Iya."  "Dia cantik ya?"  "Iyaa cantik."  "Cantikan mana sama Lisa?"   "Hahahaha aku suka visual jisoo sih."  W yang denger cuma senyum doang";0;0;0;0;in;1244747552878141442;1634689460691664896;nishimuraaul;https://twitter.com/nishimuraaul/status/1634690347837296640
Sat Mar 11 22:58:41 +0000 2023;1634690335346659330;"Iri sama Bilqis masa iya dia notice berkali kali sama blackpink 😭 mana lagi dikasih love sama jisoo dikiss sama Lisa😭😭😭😭😭😭😭😭😭😭";0;0;0;5;in;1453508692175818758;1634690335346659330;Imyour_fia;https://twitter.com/Imyour_fia/status/1634690335346659330
Sat Mar 11 22:58:28 +0000 2023;1634690280095109120;"Nangis pgn nonton blackpink jg😭😭";0;1;0;0;in;354132652;1634690280095109120;kentangposo;https://twitter.com/kentangposo/status/1634690280095109120
Sat Mar 11 22:57:29 +0000 2023;1634690032299810816;"Ohh ternyata ada konser blackpink toh";0;0;0;1;in;894293987028156416;1634690032299810816;puzpuzro;https://twitter.com/puzpuzro/status/1634690032299810816
Sat Mar 11 22:57:08 +0000 2023;1634689945209278464;"ternyata blackpink pernah konser di ice bsd juga pas 2019😭😭🙏🏻🙏🏻 pantes aja gue gatau, itu msh di darqo anjir gue";0;0;0;0;in;1541063237009289216;1634689945209278464;azkyaaa06;https://twitter.com/azkyaaa06/status/1634689945209278464
Sat Mar 11 22:56:50 +0000 2023;1634689867383975936;"Ni kan aku dapet tiker gratis dari boss mama ku buat konser day2 Blackpink, dia gabisa dateng karena tiba tiba ada perubahan jadwal harus keluar kota, trs otomatis kan data diri di e-voucher beda sama punya ku, trs ntar itu gimana ya jadinya??? Di cek juga apa gimana... 😫";0;1;0;0;in;1253311158473199617;1634689867383975936;jqhnnyjsuh;https://twitter.com/jqhnnyjsuh/status/1634689867383975936
Sat Mar 11 22:56:30 +0000 2023;1634689787096600577;"tl full blackpink, mengsedih tida bisa nonton juga";0;0;0;0;in;1069204535170613248;1634689787096600577;mrzfrrs;https://twitter.com/mrzfrrs/status/1634689787096600577
Sat Mar 11 22:56:26 +0000 2023;1634689767844749312;"Mana waktu ngomongin berasa expert soal blackpink banget";0;0;0;0;in;1244747552878141442;1634689460691664896;nishimuraaul;https://twitter.com/nishimuraaul/status/1634689767844749312
Sat Mar 11 22:56:09 +0000 2023;1634689695933419520;"ya allah takuut blackpink koser terakhir di indoo😭, gimana ya rasanya kalo tiba2 dateng keajaiban ada tiket bp turun dari langiit 😭";0;0;0;0;in;1259783504826494977;1634689695933419520;nabelapm;https://twitter.com/nabelapm/status/1634689695933419520
Sat Mar 11 22:55:13 +0000 2023;1634689463585759233;"😭😭😭😭  Kakalampag ang Pinas sa Bulacan tlaga...   @BLACKPINK";0;0;0;0;tl;1136847223897989121;1634689463585759233;SwiftieBlink03;https://twitter.com/SwiftieBlink03/status/1634689463585759233
Sat Mar 11 22:55:13 +0000 2023;1634689460691664896;"HHAAHHAHAAHAH KOCAK BANGET blackpink bener bener definisi global girlgroup alias kakak kelas w yang umum sekarang ngomongin blackpink terus";0;3;0;0;in;1244747552878141442;1634689460691664896;nishimuraaul;https://twitter.com/nishimuraaul/status/1634689460691664896
Sat Mar 11 22:55:00 +0000 2023;1634689409714122752;"Liat story pada nonton BlackPink jujur aku ga iri, tapi bsk kalo liat story yg pada nonton Yoongi bisa dipastikan aku bakal nangis 😭😭😭😭😭😭";0;0;0;0;in;1376684226;1634689409714122752;MissGiordaniEDP;https://twitter.com/MissGiordaniEDP/status/1634689409714122752
Sat Mar 11 22:54:52 +0000 2023;1634689372720332800;"potret 2 manusia gampang inpooo  #JENNIE #BLACKPINK_WORLDTOUR https://t.co/Es63mncbtE";0;0;0;0;in;1172380298090180609;1634689372720332800;peacxhytea_;https://twitter.com/peacxhytea_/status/1634689372720332800
Sat Mar 11 22:54:14 +0000 2023;1634689214662180871;"wtb/want to buy tiket BLACKPINK DAY2 cat 4 butuh 3tix underprice Full payment cod venue siang ini kalo ada bisa dm yaa   #JISOO  #BORNPINKinJAKARTA  #BLACKPINKinJAKARTA  #BLACKPINK_WORLDTOUR  #BLACKPINK_BORNPINK";0;2;0;0;in;784617097;1634429716852805634;mysiplegita;https://twitter.com/mysiplegita/status/1634689214662180871
Sat Mar 11 22:53:55 +0000 2023;1634689133531770880;"3 Artis Indonesia yang Nonton Konser BLACKPINK, Nagita hingga Ayu Ting Ting  gimaa gess.... kamu ikut juga engak??? https://t.co/xOFQiXvpOF";0;0;0;0;in;2921251172;1634689133531770880;dhonny_once;https://twitter.com/dhonny_once/status/1634689133531770880
Sat Mar 11 22:53:35 +0000 2023;1634689049968648193;"@yourcinggu @KHBFess_ID Emang iyaa, aku ada denger kaka Kka nya ngomongin abis hanbin mreka jaga d blackpink";0;1;0;0;in;1430112683630632964;1634525830503362561;your_onewoo;https://twitter.com/your_onewoo/status/1634689049968648193
Sat Mar 11 22:53:07 +0000 2023;1634688935749382144;"Nonton Blackpink di GBK main stadium Jakarta!!  #BORNPINKinJAKARTA  #BORNPINKinJKTday1 #BLACKPINKinJAKARTA #BLACKPINKinJKT";0;3;0;0;in;804594883;1041674167509118976;whyyha;https://twitter.com/whyyha/status/1634688935749382144
Sat Mar 11 22:53:02 +0000 2023;1634688912420663297;"lisa blackpink islam, aku liat dia solat di mushola GBK, aku juga liat dia wudhu";2;3;10;13;in;120337816;1634688912420663297;inizali;https://twitter.com/inizali/status/1634688912420663297
Sat Mar 11 22:52:56 +0000 2023;1634688888353722368;"Iri sama orang-orang yg bisa liat blackpink secara langsung 🥺";0;0;0;0;in;1270262007371972609;1634688888353722368;nathaaaaaaa30;https://twitter.com/nathaaaaaaa30/status/1634688888353722368
Sat Mar 11 22:52:34 +0000 2023;1634688793797353472;"eh mandi!!! nanti liat blackpink 😁";0;0;0;0;in;2890547942;1634688793797353472;_idyLic;https://twitter.com/_idyLic/status/1634688793797353472
Sat Mar 11 22:52:12 +0000 2023;1634688704035061761;"Aduh mbiaaak liat konser blackpink elit, bayar utang sulit ya wak";0;2;0;0;in;86862003;1634688704035061761;Fidyadiwanti;https://twitter.com/Fidyadiwanti/status/1634688704035061761
Sat Mar 11 22:51:35 +0000 2023;1634688549214904321;"guyss tolong spill fancam blackpink di cat 3 seat p dong, mau liat sejauh apa dan pake telezoom atau engga";0;0;0;0;in;1117950507358646273;1634688549214904321;shibaaal__1;https://twitter.com/shibaaal__1/status/1634688549214904321
Sat Mar 11 22:51:06 +0000 2023;1634688424564383746;"@iwepeee @honorslisa pergi nnton blackpink di indoapril🤣🤣 @noviriantyb";0;0;0;0;in;727156231316500480;1634552350252888065;syaamsiii;https://twitter.com/syaamsiii/status/1634688424564383746
Sat Mar 11 22:51:05 +0000 2023;1634688423385772033;"Ga bakal aku lupain pokoknya ini one of best moment in my life🥹💗🫶🏻 #BORNPINKinJAKARTA  @BLACKPINK https://t.co/7HKqLk0KEx";0;0;0;5;in;3000761707;1634688423385772033;oobacip;https://twitter.com/oobacip/status/1634688423385772033
Sat Mar 11 22:50:24 +0000 2023;1634688248013557760;"@justcallherrose @BLACKPINK Whaaaa auto langsung gempa 🤣🤣🤣";0;1;0;0;tl;1445653839361634309;1634597185189994497;_lalalalice;https://twitter.com/_lalalalice/status/1634688248013557760
Sat Mar 11 22:50:03 +0000 2023;1634688160797175809;"Fansnya blackpink di indo banyak banget, gila gak main2.";0;0;0;0;in;1331270080655630336;1634688160797175809;gichiselle;https://twitter.com/gichiselle/status/1634688160797175809
