source,target,links
Jichu :), CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
Kumapongda, Congratulations #Lisa\nLisa bagged 4 awards at the Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Cho\xe2\x80\xa6',1
Kumapongda, \xe0\xb8\xaa\xe0\xb8\xa1\xe0\xb8\xa1\xe0\xb8\x87\xe0\xb8\x84\xe0\xb9\x88\xe0\xb8\xb0\nCONGRATULATIONS LISA\nLALISA APMA SOTY \n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20\xe2\x80\xa6',1
BBBlove, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Max___, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LIS\xe2\x80\xa6',1
Macarena|| ❄️❄️," Tanto #LISA y #ROS\xc3\x89 ganaron  ""Artist Award Female Solo TOP 3"" en los Hanteo Music Awards 2021. \n\nCongratulations CHAELISA\xe2\x80\xa6'",1
LA LISA⁰³²⁷, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
Macarena|| ❄️❄️, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
elly :), Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
JinchuLichaeng, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Blackpink.revolution," Tanto #LISA y #ROS\xc3\x89 ganaron  ""Artist Award Female Solo TOP 3"" en los Hanteo Music Awards 2021. \n\nCongratulations CHAELISA\xe2\x80\xa6'",1
Yamileth Garzón, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Yolanda Bravo ❄," Tanto #LISA y #ROS\xc3\x89 ganaron  ""Artist Award Female Solo TOP 3"" en los Hanteo Music Awards 2021. \n\nCongratulations CHAELISA\xe2\x80\xa6'",1
◦ ◖AKA◗ ◦ UNISP 🌌, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
luana ❄️ (youngro debut), LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
𝓷𝓪𝓷𝓪𝓷𝓮𝓷𝓮 🍯🍵, Congratulations Lisa! \n\nLALISA APMA SOTY \n#VoteLISAforSMA https,1
🍦⁰³²⁷ฉันคือเมียที่กดติดตามลิซ่าติดภายในครั้งเดียว, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
𝐧𝐚𝐧𝐚," Tanto #LISA y #ROS\xc3\x89 ganaron  ""Artist Award Female Solo TOP 3"" en los Hanteo Music Awards 2021. \n\nCongratulations CHAELISA\xe2\x80\xa6'",1
G, LALISA by #LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! We are very proud of you Queen L. \xf0\x9f\x91\xb8\n\nCo\xe2\x80\xa6',1
Chae Madeleine Richards, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
JenChuLiChaeng ❄," \xf0\x9f\x8e\x89[2021 Hanteo Music Awards]\n\nBLINKS, LISA and ROS\xc3\x89 both won Artist Award for Female Solo Top 3 at the 2021 Hanteo Music\xe2\x80\xa6'",1
ʕっ•ᴥ•ʔっ, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
