source,target,links
Lali★🐈‍⬛, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
- Lilies -, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
poopoo ia👾, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
Lali★🐈‍⬛," LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nThank you Lilivoters for working hard, sh\xe2\x80\xa6'",1
istri niall🦋," LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nThank you Lilivoters for working hard, sh\xe2\x80\xa6'",1
อย่าซ่ากับพี่, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
lisaM," Congratulations\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n#LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021.\n\n\xeb\xb8\x94\xeb\x9e\x99\xed\x95\x91\xed\x81\xac \xeb\xa6\xac\xec\x82\xac \n#LISA  #\xeb\xa6\xac\xec\x82\xac #L\xe2\x80\xa6'",1
nami, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
ɴᴀ'ᴀ, @babypinkyhair Congratulations Queen LISA\n\nLALISA APMA SOTY\n\nAsian Pop Music Awards 2021    #LISA #LALISA #MONEY #SG #\xe2\x80\xa6',1
🤘🏻LS1Ⓜ️🤘🏻🌻531717🌻, Congratulations Lisa \n\xe0\xb8\xa2\xe0\xb8\xb4\xe0\xb8\x99\xe0\xb8\x94\xe0\xb8\xb5\xe0\xb8\x81\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\xa7\xe0\xb8\xb2\xe0\xb8\xa1\xe0\xb8\xaa\xe0\xb8\xb3\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb9\x87\xe0\xb8\x88\xe0\xb8\x82\xe0\xb8\xad\xe0\xb8\x87\xe0\xb8\x84\xe0\xb8\xb8\xe0\xb8\x93\xe0\xb8\x99\xe0\xb8\xb0\xe0\xb8\x84\xe0\xb8\xb0\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x81\xe0\xb9\x88\xe0\xb8\x87 \n\nLALISA APMA SOTY\n#VoteLISAforSMA\n\n https,1
CTG, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
NARI⁰³²⁷ เมื่อไหร่น้องลิซจะผมยาว, Congratulations Queen LISA\xf0\x9f\x91\x91\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xb3\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x89\n\nLALISA APMA SOTY \n#VoteLISAforSMA',1
ɴᴀ'ᴀ, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Sandy, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
MyLisaya❄️, LALISA by #LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! We are very proud of you Queen L. \xf0\x9f\x91\xb8\n\nCo\xe2\x80\xa6',1
A, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
Lalisa Manobal :) :) :)," #LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021.\n\nCongratulations LISA \xf0\x9f\xa5\xb3\n\n\xeb\xb8\x94\xeb\x9e\x99\xed\x95\x91\xed\x81\xac \xeb\xa6\xac\xec\x82\xac #LISA #\xeb\xa6\xac\xec\x82\xac\xe2\x80\xa6'",1
‏ً, OMFG LALISA WON SONG OF THE YEAR (overseas) for ASIAN POP MUSIC AWARD 2021! Congratulations Lisa! \n\n#LISA #money #SG http\xe2\x80\xa6',1
Jec⁷," LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nThank you Lilivoters for working hard, sh\xe2\x80\xa6'",1
hoya, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
บ้านเลขที่ 4 ซอยพรีเว็ต 💜, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
🌧️ ❄️, \xf0\x9f\x8f\x86 | #LISA\xe2\x80\x99s \xe2\x80\x9cLALISA\xe2\x80\x9d has won SONG OF THE YEAR at the Asian Pop Music Awards 2021. \n\nCONGRATULATIONS LISA!\n#BLACKPINK #\xe2\x80\xa6',1
;, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LI\xe2\x80\xa6',1
zsenpai, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
LILI LOVE :), #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LI\xe2\x80\xa6',1
บูบีบู้บี้ ʕ•ᴥ•ʔ, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
ɴᴀ'ᴀ, REPLY??\n\nCongratulations Lisa \nLALISA APMA SOTY \n\n #VoteLISAforSMA',1
LIZKOOK, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LIS\xe2\x80\xa6',1
Lili027," Congratulations\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n#LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021.\n\n\xeb\xb8\x94\xeb\x9e\x99\xed\x95\x91\xed\x81\xac \xeb\xa6\xac\xec\x82\xac \n#LISA  #\xeb\xa6\xac\xec\x82\xac #L\xe2\x80\xa6'",1
JV ❄️, Both #LISA &amp; #ROS\xc3\x89 has won 4 awards at Asian Pop Music Awards 2021 (overseas) \xf0\x9f\x91\xb8\xf0\x9f\x91\x8f\n\nHuge congratulations to our both Sol\xe2\x80\xa6',1
L_a_l_i_s_a :) ||sN❄WdRoP//BP PTOW, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
Mas Aldi(baran), Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
blitzkreig, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Nani⁰³²⁷, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
Maco Yeej," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
BLINK_OT4 ❄️," \xf0\x9f\x8f\x86 | #LISA and #ROS\xc3\x89 both won at the\n#2021HanteoMusicAwards for \xe2\x80\x9cArtist Award (Female Solo TOP 3)"". Congratulations CHA\xe2\x80\xa6'",1
BamBam," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
куυ., \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
louis :), Congratulations Lisa \xf0\x9f\x92\x9b',1
MyLisaya❄️, \xf0\x9f\x8f\x86 | #LISA\xe2\x80\x99s \xe2\x80\x9cLALISA\xe2\x80\x9d has won SONG OF THE YEAR at the Asian Pop Music Awards 2021. \n\nCONGRATULATIONS LISA!\n#BLACKPINK #\xe2\x80\xa6',1
Talita Ribeiro 👄, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Katekyo, #LISA wins a total of 4 awards at the Asian Pop Music Awards 2021!\n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - L\xe2\x80\xa6',1
pp-manx9," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
Bonnie🐇," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
ratio, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
Hi_Lilies, Congratulations our Snow Queen Lisa. We always proud of you! \n\nLALISA APMA SOTY\nCONGRATULATIONS LISA',1
MyLisaya❄️, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
Luga2_, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Lovi.pam, LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nCongratulations LISA \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xb3\xf0\x9f\x8e\x89\n@BLACKPINK #LIS\xe2\x80\xa6',1
LIZKOOK, CONGRATULATIONS LISA https,1
. *. ⋆แจ่ม​ ว้าวว✩‧₊˚​🌻🐝," Congratulations\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n#LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021.\n\n\xeb\xb8\x94\xeb\x9e\x99\xed\x95\x91\xed\x81\xac \xeb\xa6\xac\xec\x82\xac \n#LISA  #\xeb\xa6\xac\xec\x82\xac #L\xe2\x80\xa6'",1
Zazarr, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LI\xe2\x80\xa6',1
𝙢𝙖 𝙠𝙖𝙡𝙖ᴥ︎, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Vin:), \xf0\x9f\x93\xa3 Asian Pop Music Awards 2021\n\n\xf0\x9f\x8f\x86 Song of the Year - LALISA by LISA\n\nCongratulations!\n\nLALISA APMA SOTY \n#VoteLISAforSMA ht\xe2\x80\xa6',1
. *. ⋆แจ่ม​ ว้าวว✩‧₊˚​🌻🐝, OMFG LALISA WON SONG OF THE YEAR (overseas) for ASIAN POP MUSIC AWARD 2021! Congratulations Lisa! \n\n#LISA #money #SG http\xe2\x80\xa6',1
maitongsaranae, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
MyLisaya❄️," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
Katekyo," Congratulations to #LISA for winning ""Song of The Year - Overseas"" with \'LALISA\' at Asian Pop Music Awards 2021.\n\n@BLACKP\xe2\x80\xa6'",1
LIZKOOK," We are proud of what you have achieved so far and we are happy for your victory this time, and we hope you are always h\xe2\x80\xa6'",1
pey, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
October_sk, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
ᴅ ʏ ᴀ✩, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
LIZKOOK, Congratulations our Snow Queen Lisa. We always proud of you! \n\nLALISA APMA SOTY\nCONGRATULATIONS LISA',1
ทาสแงว, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
MYLALISA, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
Be brave🍦, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
pey," LALISA by LISA has won ""SONG OF THE YEAR"" (Overseas) at the Asian Pop Music Awards 2021! \n\nCongratulations LISA\xf0\x9f\x91\x91 \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xb3\xf0\x9f\x8e\x89\n@BL\xe2\x80\xa6'",1
Hakii, Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nT\xe2\x80\xa6',1
Vin:)," Lisa bagged 4 awards today, including Song Of The Year. I love when the kpop global IT girl continues globaling non stop!\xe2\x80\xa6'",1
Maco Yeej, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
LISA, Can I get 50 replies?\n\nCONGRATULATIONS LISA\nLALISA APMA SOTY\n#VoteLISAforSMA',1
iaz, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Katekyo, \xf0\x9f\x8f\x86 | #LISA\xe2\x80\x99s \xe2\x80\x9cLALISA\xe2\x80\x9d has won SONG OF THE YEAR at the Asian Pop Music Awards 2021. \n\nCONGRATULATIONS LISA!\n#BLACKPINK #\xe2\x80\xa6',1
_lalilisa, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
LIZKOOK, Congratulations Lisa https,1
MyLisaya❄️, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
sgim, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LIS\xe2\x80\xa6',1
Soni Berenice Bosch, Congratulations Lisa! \n\nLALISA APMA SOTY \n#VoteLISAforSMA https,1
:)เบบี้แมวโบ๊ะบ๊ะ : 🎄บบมบ♡บบพฮ🎅🏻 rest, @babypinkyhair Congratulations Queen LISA\n\nLALISA APMA SOTY\n\nAsian Pop Music Awards 2021    #LISA #LALISA #MONEY #SG #\xe2\x80\xa6',1
LIZKOOK, My girl deserved it \xf0\x9f\x91\x91 \n\nCONGRATULATIONS LISA\nLALISA APMA SOTY\n#VoteLISAforSMA https,1
ven, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
Blink, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Hi_Lilies, @WorldwideBLINK @BLACKPINK CONGRATULATIONS LISA\n\nLALISA APMA SOTY\n#VoteLISAforSMA',1
Tharee.p, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
LALEMON :), #LISA \xf0\x9f\x90\xa3\xf0\x9f\x90\xb1 won best new artist at #ChannelRRadioAwards2021 Congratulations to LISA #BLACKPINK \xf0\x9f\x92\x9b\xe2\x9c\xa8 https,1
Soni Berenice Bosch, Congratulations Lisa\n\nLALISA APMA SOTY\n#VoteLISAforSMA https,1
Never_ending Curiosities," Congratulations\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n#LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021.\n\n\xeb\xb8\x94\xeb\x9e\x99\xed\x95\x91\xed\x81\xac \xeb\xa6\xac\xec\x82\xac \n#LISA  #\xeb\xa6\xac\xec\x82\xac #L\xe2\x80\xa6'",1
LIZKOOK, No words can describe how proud i am to our soloist #LISA\n\nCONGRATULATIONS LISA\nyou deserve it LISA\xf0\x9f\x92\x9b\nLALISA APMA SOTY\n#VoteL\xe2\x80\xa6',1
°_°, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
ทีเร็กซ์, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
LIZKOOK, @LISANATIONS_ Well deserved awards\xf0\x9f\x91\x8d\xe2\xad\x90\xf0\x9f\x92\x8b\n\nCongratulations Lisa\nLALISA APMA SOTY\n#VoteLISAforSMA \n\nAgain!!!\nCongrats LISA',1
lia," [INFO] \xc2\xa1\'#LALISA\' de #LISA gan\xc3\xb3 ""Canci\xc3\xb3n del a\xc3\xb1o (en el extranjero)"" en los Asian Pop Music Awards 2021!\n\nCONGRATULATIONS L\xe2\x80\xa6'",1
Trisha Landicho :)," @REMEZCLA @lalisadebuts #LISA the only Kpop superstar in the Top 10 fashion moments of 2021.. Congratulations, Queen! htt\xe2\x80\xa6'",1
Intranee, @LISANATIONS_ Lisa is queen\xf0\x9f\x91\x91\n\nLALISA APMA SOTY\n#VoteLISAforSMA\nCongratulations LISA',1
ac, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
iamlife, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LIS\xe2\x80\xa6',1
pey, Another one... Congratulations Lisa \xf0\x9f\xa5\xb3 #LALISA #SONGOFTHEYEAR https,1
